DATE,TEMPS,ACTIONS,TACHES,KEYS,ETAT_ENVOI,A
01/11/2024,07:27:51,Main,delete,57628_-2,1,A
01/11/2024,07:41:38,Main,delete,57632_-8,1,A
01/11/2024,07:50:22,Main,delete,57632_-7,1,A
01/11/2024,07:59:55,Main,delete,57632_-9,1,A
01/11/2024,08:19:42,Main,delete,57632_-16,1,A
01/11/2024,08:27:16,Main,delete,57632_-4,1,A
01/11/2024,08:42:11,Main,delete,57632_-2,1,A
01/11/2024,08:52:31,Main,delete,57632_-17,1,A
01/11/2024,09:01:49,Main,delete,57632_-14,1,A
01/11/2024,09:09:59,Main,delete,57632_-3,1,A
01/11/2024,10:08:04,Main,delete,57632_-1,1,A
01/11/2024,10:15:12,Main,delete,57632_-15,1,A
01/11/2024,10:37:32,Main,delete,57632_-5,1,A
01/11/2024,10:44:21,Main,delete,57632_-11,1,A
01/11/2024,10:53:17,Main,delete,57632_-10,1,A
01/11/2024,11:38:22,Main,delete,57632_-6,1,A
01/11/2024,11:58:53,Main,delete,57632_-12,1,A
01/11/2024,13:58:42,Main,delete,57269_-569,1,A
01/11/2024,14:10:53,Main,delete,57269_-590,1,A
01/11/2024,15:18:34,Main,delete,57269_-589,1,A
01/11/2024,15:53:45,Main,delete,57269_-508,1,A
01/11/2024,16:27:35,Main,delete,57269_-607,1,A
01/11/2024,16:31:55,WPCS,insert,57781_-1,1,A
01/11/2024,16:31:55,WPCS,insert,57783_-1,1,A
01/11/2024,16:31:55,WPCS,insert,57782_-1,1,A
01/11/2024,17:32:15,Main,delete,57260_-31,1,A
01/11/2024,19:01:07,Main,delete,57260_-32,1,A
04/11/2024,10:10:10,WPCS,delete,57632_-18,1,A
04/11/2024,12:58:29,Main,delete,57781_-1,1,A
05/11/2024,09:22:35,Main,delete,57782_-1,1,A
05/11/2024,12:19:43,Main,delete,57260_-37,1,A
05/11/2024,14:57:53,WPCS,insert,57799_-60,1,A
05/11/2024,14:57:53,WPCS,insert,57799_-59,1,A
05/11/2024,14:57:53,WPCS,insert,57799_-58,1,A
05/11/2024,14:57:53,WPCS,insert,57799_-57,1,A
05/11/2024,14:57:53,WPCS,insert,57799_-56,1,A
05/11/2024,14:57:53,WPCS,insert,57799_-55,1,A
05/11/2024,14:57:53,WPCS,insert,57799_-54,1,A
05/11/2024,14:57:53,WPCS,insert,57799_-53,1,A
05/11/2024,14:57:53,WPCS,insert,57799_-52,1,A
05/11/2024,14:57:53,WPCS,insert,57799_-51,1,A
05/11/2024,14:57:53,WPCS,insert,57799_-50,1,A
05/11/2024,14:57:53,WPCS,insert,57799_-49,1,A
05/11/2024,14:57:53,WPCS,insert,57799_-48,1,A
05/11/2024,14:57:53,WPCS,insert,57799_-47,1,A
05/11/2024,14:57:53,WPCS,insert,57799_-46,1,A
05/11/2024,14:57:53,WPCS,insert,57799_-63,1,A
05/11/2024,14:57:53,WPCS,insert,57799_-62,1,A
05/11/2024,14:57:53,WPCS,insert,57799_-61,1,A
05/11/2024,18:50:07,Main,delete,57799_-61,1,A
05/11/2024,18:56:56,Main,delete,57799_-62,1,A
05/11/2024,19:07:17,Main,delete,57799_-63,1,A
05/11/2024,19:14:16,Main,delete,57799_-46,1,A
05/11/2024,19:23:41,Main,delete,57799_-48,1,A
05/11/2024,19:30:53,Main,delete,57799_-53,1,A
05/11/2024,19:39:21,Main,delete,57799_-56,1,A
05/11/2024,19:45:19,Main,delete,57799_-60,1,A
05/11/2024,20:00:39,Main,delete,57799_-52,1,A
05/11/2024,20:28:16,Main,delete,57799_-54,1,A
05/11/2024,20:37:01,Main,delete,57799_-57,1,A
05/11/2024,20:52:00,Main,delete,57799_-49,1,A
05/11/2024,21:02:01,Main,delete,57799_-50,1,A
05/11/2024,21:11:10,Main,delete,57799_-51,1,A
05/11/2024,21:22:25,Main,delete,57799_-55,1,A
05/11/2024,21:28:51,Main,delete,57799_-58,1,A
05/11/2024,21:55:44,Main,delete,57799_-47,1,A
05/11/2024,22:02:46,Main,delete,57799_-59,1,A
06/11/2024,08:29:24,Main,delete,57783_-1,1,A
06/11/2024,09:01:29,Main,delete,57632_-13,1,A
06/11/2024,09:28:49,Main,delete,57269_-96,1,A
06/11/2024,10:13:03,WPCS,insert,57661_-15,1,A
06/11/2024,10:13:03,WPCS,insert,57661_-14,1,A
06/11/2024,10:13:03,WPCS,insert,57661_-66,1,A
06/11/2024,10:13:03,WPCS,insert,57661_-68,1,A
06/11/2024,10:13:03,WPCS,insert,57661_-69,1,A
06/11/2024,10:13:03,WPCS,insert,57661_-64,1,A
06/11/2024,10:13:03,WPCS,insert,57661_-17,1,A
06/11/2024,10:13:03,WPCS,insert,57661_-67,1,A
06/11/2024,10:13:03,WPCS,insert,57661_-16,1,A
06/11/2024,10:13:03,WPCS,insert,57661_-65,1,A
06/11/2024,10:13:03,WPCS,insert,57661_-13,1,A
06/11/2024,10:13:28,WPCS,insert,57809_-27,1,A
06/11/2024,10:13:28,WPCS,insert,57809_-26,1,A
06/11/2024,10:13:28,WPCS,insert,57809_-2,1,A
06/11/2024,10:13:28,WPCS,insert,57809_-4,1,A
06/11/2024,10:13:28,WPCS,insert,57809_-12,1,A
06/11/2024,10:13:28,WPCS,insert,57809_-14,1,A
06/11/2024,10:13:28,WPCS,insert,57809_-20,1,A
06/11/2024,10:13:28,WPCS,insert,57809_-24,1,A
06/11/2024,10:13:28,WPCS,insert,57809_-25,1,A
06/11/2024,10:13:28,WPCS,insert,57809_-22,1,A
06/11/2024,10:13:28,WPCS,insert,57809_-21,1,A
06/11/2024,10:13:28,WPCS,insert,57809_-15,1,A
06/11/2024,10:13:28,WPCS,insert,57809_-23,1,A
06/11/2024,10:13:28,WPCS,insert,57809_-10,1,A
06/11/2024,10:13:28,WPCS,insert,57809_-1,1,A
06/11/2024,10:13:28,WPCS,insert,57809_-3,1,A
06/11/2024,10:13:28,WPCS,insert,57809_-18,1,A
06/11/2024,10:13:28,WPCS,insert,57809_-5,1,A
06/11/2024,10:13:28,WPCS,insert,57809_-6,1,A
06/11/2024,10:13:28,WPCS,insert,57809_-9,1,A
06/11/2024,10:13:53,WPCS,insert,57809_-13,1,A
06/11/2024,10:13:53,WPCS,insert,57809_-17,1,A
06/11/2024,10:13:53,WPCS,insert,57809_-16,1,A
06/11/2024,10:13:53,WPCS,insert,57809_-7,1,A
06/11/2024,10:13:53,WPCS,insert,57809_-11,1,A
06/11/2024,10:13:53,WPCS,insert,57809_-8,1,A
06/11/2024,10:13:53,WPCS,insert,57809_-19,1,A
06/11/2024,10:16:48,WPCS,delete,57269_-592,1,A
06/11/2024,10:16:58,WPCS,delete,57269_-102,1,A
06/11/2024,10:17:08,WPCS,delete,57269_-584,1,A
06/11/2024,10:17:23,WPCS,delete,57269_-30,1,A
06/11/2024,10:17:33,WPCS,delete,57269_-367,1,A
06/11/2024,10:17:43,WPCS,delete,57269_-259,1,A
06/11/2024,10:17:58,WPCS,delete,57269_-366,1,A
06/11/2024,10:18:28,WPCS,delete,57269_-467,1,A
06/11/2024,10:18:38,WPCS,delete,57269_-519,1,A
06/11/2024,10:18:43,WPCS,delete,57269_-35,1,A
06/11/2024,10:49:25,Main,delete,57260_-33,1,A
06/11/2024,10:59:15,WPCS,delete,57260_-41,1,A
06/11/2024,11:45:37,Main,delete,57260_-27,1,A
06/11/2024,12:04:51,Main,delete,57809_-12,1,A
06/11/2024,12:28:55,Main,delete,57809_-4,1,A
06/11/2024,12:42:29,Main,delete,57809_-14,1,A
06/11/2024,13:03:33,Main,delete,57809_-20,1,A
06/11/2024,13:26:40,Main,delete,57809_-2,1,A
06/11/2024,13:53:39,Main,delete,57809_-27,1,A
06/11/2024,14:19:08,Main,delete,57809_-24,1,A
06/11/2024,16:05:36,Main,delete,57809_-22,1,A
06/11/2024,16:24:22,Main,delete,57809_-21,1,A
06/11/2024,16:54:19,Main,delete,57809_-23,1,A
06/11/2024,17:24:37,Main,delete,57809_-15,1,A
06/11/2024,18:41:44,Main,delete,57809_-10,1,A
06/11/2024,19:18:21,Main,delete,57809_-3,1,A
06/11/2024,19:51:52,Main,delete,57809_-5,1,A
06/11/2024,21:28:18,Main,delete,57809_-18,1,A
06/11/2024,22:10:49,Main,delete,57809_-1,1,A
08/11/2024,12:41:03,Main,delete,57479_-14,1,A
08/11/2024,14:11:04,Main,delete,57479_-58,1,A
08/11/2024,15:03:50,Main,delete,57479_-53,1,A
08/11/2024,15:58:45,Main,delete,57479_-52,1,A
08/11/2024,17:30:11,Main,delete,57479_-59,1,A
08/11/2024,18:49:12,Main,delete,57479_-60,1,A
08/11/2024,19:22:25,Main,delete,57479_-48,1,A
08/11/2024,20:16:16,Main,delete,57479_-47,1,A
08/11/2024,20:47:18,Main,delete,57479_-22,1,A
08/11/2024,21:28:00,Main,delete,57479_-23,1,A
11/11/2024,08:49:40,WPCS,delete,57479_-61,1,A
11/11/2024,08:49:50,WPCS,delete,57479_-51,1,A
11/11/2024,08:50:00,WPCS,delete,57479_-50,1,A
11/11/2024,08:50:10,WPCS,delete,57479_-49,1,A
11/11/2024,08:50:15,WPCS,delete,57479_-20,1,A
11/11/2024,08:50:25,WPCS,delete,57479_-19,1,A
11/11/2024,08:50:30,WPCS,delete,57479_-18,1,A
11/11/2024,08:50:40,WPCS,delete,57479_-17,1,A
11/11/2024,08:50:50,WPCS,delete,57479_-16,1,A
11/11/2024,08:50:55,WPCS,delete,57479_-15,1,A
11/11/2024,08:51:05,WPCS,delete,57479_-13,1,A
11/11/2024,08:51:20,WPCS,delete,57479_-12,1,A
11/11/2024,08:51:30,WPCS,delete,57479_-11,1,A
11/11/2024,08:51:35,WPCS,delete,57479_-5,1,A
11/11/2024,08:51:55,WPCS,delete,57479_-21,1,A
11/11/2024,13:19:10,WPCS,delete,57809_-26,1,A
11/11/2024,13:19:20,WPCS,delete,57809_-25,1,A
11/11/2024,17:40:10,WPCS,insert,57976_-1,1,A
11/11/2024,17:57:20,WPCS,insert,58002_-47,1,A
11/11/2024,17:57:20,WPCS,insert,58002_-41,1,A
11/11/2024,17:57:20,WPCS,insert,58002_-50,1,A
11/11/2024,17:57:20,WPCS,insert,58002_-49,1,A
11/11/2024,17:57:20,WPCS,insert,58002_-48,1,A
11/11/2024,17:57:20,WPCS,insert,58002_-45,1,A
11/11/2024,17:57:20,WPCS,insert,58002_-46,1,A
11/11/2024,17:57:20,WPCS,insert,58002_-39,1,A
11/11/2024,17:57:20,WPCS,insert,58002_-42,1,A
11/11/2024,17:57:20,WPCS,insert,58002_-44,1,A
11/11/2024,17:57:20,WPCS,insert,58002_-29,1,A
11/11/2024,17:57:20,WPCS,insert,58002_-43,1,A
11/11/2024,17:57:20,WPCS,insert,58002_-12,1,A
11/11/2024,17:57:20,WPCS,insert,58002_-23,1,A
11/11/2024,17:57:20,WPCS,insert,58002_-22,1,A
11/11/2024,17:57:20,WPCS,insert,58002_-21,1,A
11/11/2024,17:57:20,WPCS,insert,58002_-20,1,A
11/11/2024,17:57:20,WPCS,insert,58002_-19,1,A
11/11/2024,17:57:21,WPCS,insert,58002_-18,1,A
11/11/2024,17:57:21,WPCS,insert,58002_-17,1,A
11/11/2024,18:01:16,WPCS,insert,58002_-63,1,A
11/11/2024,18:01:16,WPCS,insert,58002_-1,1,A
11/11/2024,18:01:16,WPCS,insert,58002_-60,1,A
11/11/2024,18:01:16,WPCS,insert,58002_-62,1,A
11/11/2024,18:01:16,WPCS,insert,58002_-3,1,A
11/11/2024,18:01:16,WPCS,insert,58002_-5,1,A
11/11/2024,18:01:16,WPCS,insert,58002_-6,1,A
11/11/2024,18:01:16,WPCS,insert,58002_-7,1,A
11/11/2024,18:01:16,WPCS,insert,58002_-8,1,A
11/11/2024,18:01:16,WPCS,insert,58002_-9,1,A
11/11/2024,18:01:16,WPCS,insert,58002_-10,1,A
11/11/2024,18:01:16,WPCS,insert,58002_-11,1,A
11/11/2024,18:01:16,WPCS,insert,58002_-13,1,A
11/11/2024,18:01:16,WPCS,insert,58002_-14,1,A
11/11/2024,18:01:16,WPCS,insert,58002_-15,1,A
11/11/2024,18:01:16,WPCS,insert,58002_-16,1,A
11/11/2024,18:01:16,WPCS,insert,58002_-2,1,A
11/11/2024,18:01:16,WPCS,insert,58002_-4,1,A
11/11/2024,18:01:16,WPCS,insert,58002_-36,1,A
11/11/2024,18:01:16,WPCS,insert,58002_-35,1,A
11/11/2024,18:01:51,WPCS,insert,58002_-25,1,A
11/11/2024,18:01:51,WPCS,insert,58002_-28,1,A
11/11/2024,18:01:51,WPCS,insert,58002_-34,1,A
11/11/2024,18:01:51,WPCS,insert,58002_-24,1,A
11/11/2024,18:01:51,WPCS,insert,58002_-31,1,A
11/11/2024,18:01:51,WPCS,insert,58002_-33,1,A
11/11/2024,18:01:51,WPCS,insert,58002_-38,1,A
11/11/2024,18:01:51,WPCS,insert,58002_-32,1,A
11/11/2024,18:06:56,WPCS,insert,58010_-27,1,A
11/11/2024,18:06:56,WPCS,insert,58010_-26,1,A
11/11/2024,18:06:56,WPCS,insert,58010_-2,1,A
11/11/2024,18:06:56,WPCS,insert,58010_-4,1,A
11/11/2024,18:06:56,WPCS,insert,58010_-12,1,A
11/11/2024,18:06:56,WPCS,insert,58010_-14,1,A
11/11/2024,18:06:56,WPCS,insert,58010_-20,1,A
11/11/2024,18:06:56,WPCS,insert,58010_-24,1,A
11/11/2024,18:06:56,WPCS,insert,58010_-25,1,A
11/11/2024,18:06:56,WPCS,insert,58010_-21,1,A
11/11/2024,18:06:56,WPCS,insert,58010_-23,1,A
11/11/2024,18:06:56,WPCS,insert,58010_-22,1,A
11/11/2024,18:06:56,WPCS,insert,58010_-15,1,A
11/11/2024,18:06:56,WPCS,insert,58010_-1,1,A
11/11/2024,18:06:56,WPCS,insert,58010_-3,1,A
11/11/2024,18:06:56,WPCS,insert,58010_-10,1,A
11/11/2024,18:06:56,WPCS,insert,58010_-5,1,A
11/11/2024,18:06:56,WPCS,insert,58010_-18,1,A
11/11/2024,18:06:56,WPCS,insert,58010_-19,1,A
12/11/2024,06:48:45,Main,delete,58002_-39,1,A
12/11/2024,06:59:36,WPCS,insert,57975_-148,1,A
12/11/2024,06:59:36,WPCS,insert,57975_-170,1,A
12/11/2024,06:59:36,WPCS,insert,57975_-169,1,A
12/11/2024,06:59:36,WPCS,insert,57975_-168,1,A
12/11/2024,06:59:36,WPCS,insert,57975_-163,1,A
12/11/2024,06:59:36,WPCS,insert,57975_-162,1,A
12/11/2024,06:59:36,WPCS,insert,57975_-161,1,A
12/11/2024,06:59:36,WPCS,insert,57975_-150,1,A
12/11/2024,06:59:36,WPCS,insert,57975_-177,1,A
12/11/2024,06:59:36,WPCS,insert,57975_-178,1,A
12/11/2024,06:59:36,WPCS,insert,57975_-180,1,A
12/11/2024,06:59:36,WPCS,insert,57975_-181,1,A
12/11/2024,06:59:36,WPCS,insert,57975_-182,1,A
12/11/2024,06:59:36,WPCS,insert,57975_-183,1,A
12/11/2024,06:59:36,WPCS,insert,57975_-176,1,A
12/11/2024,06:59:36,WPCS,insert,57975_-175,1,A
12/11/2024,06:59:36,WPCS,insert,57975_-174,1,A
12/11/2024,06:59:36,WPCS,insert,57975_-165,1,A
12/11/2024,06:59:36,WPCS,insert,57975_-164,1,A
12/11/2024,06:59:36,WPCS,insert,57975_-166,1,A
12/11/2024,07:02:37,WPCS,insert,57975_-184,1,A
12/11/2024,07:02:37,WPCS,insert,57975_-151,1,A
12/11/2024,07:02:37,WPCS,insert,57975_-153,1,A
12/11/2024,07:02:37,WPCS,insert,57975_-152,1,A
12/11/2024,07:02:37,WPCS,insert,57975_-160,1,A
12/11/2024,07:02:37,WPCS,insert,58002_-48,1,A
12/11/2024,07:02:37,WPCS,insert,58002_-42,1,A
12/11/2024,07:02:37,WPCS,insert,57975_-171,1,A
12/11/2024,07:02:37,WPCS,insert,58002_-21,1,A
12/11/2024,07:02:37,WPCS,insert,58002_-63,1,A
12/11/2024,07:02:37,WPCS,insert,57975_-157,1,A
12/11/2024,07:02:37,WPCS,insert,57975_-158,1,A
12/11/2024,07:02:37,WPCS,insert,57975_-155,1,A
12/11/2024,07:02:37,WPCS,insert,58002_-14,1,A
12/11/2024,07:05:27,WPCS,overwrite,57975_-167,1,A
12/11/2024,07:05:27,WPCS,overwrite,57975_-172,1,A
12/11/2024,07:05:27,WPCS,overwrite,57975_-179,1,A
12/11/2024,07:05:27,WPCS,overwrite,57975_-156,1,A
12/11/2024,07:05:27,WPCS,overwrite,57975_-159,1,A
12/11/2024,07:09:37,Main,delete,58002_-29,1,A
12/11/2024,07:24:37,Main,delete,58002_-44,1,A
12/11/2024,07:33:16,Main,delete,58002_-42,1,A
12/11/2024,08:08:05,Main,delete,57975_-169,1,A
12/11/2024,08:16:57,Main,delete,57975_-170,1,A
12/11/2024,08:36:19,Main,delete,57975_-168,1,A
12/11/2024,09:44:33,Main,delete,57975_-163,1,A
12/11/2024,09:58:38,Main,delete,57975_-162,1,A
12/11/2024,10:31:11,Main,delete,57975_-161,1,A
12/11/2024,11:37:48,Main,delete,57975_-150,1,A
12/11/2024,12:33:37,Main,delete,57975_-164,1,A
12/11/2024,12:52:33,Main,delete,57975_-184,1,A
12/11/2024,13:08:19,Main,delete,57975_-166,1,A
12/11/2024,13:30:44,Main,delete,57975_-167,1,A
12/11/2024,13:57:56,Main,delete,57975_-151,1,A
13/11/2024,07:18:47,Main,delete,57260_-40,1,A
13/11/2024,07:37:42,Main,delete,57260_-30,1,A
13/11/2024,07:50:35,Main,delete,57975_-148,1,A
13/11/2024,08:33:17,Main,delete,57809_-13,1,A
13/11/2024,09:10:17,Main,delete,57809_-16,1,A
13/11/2024,09:18:41,WPCS,insert,58010_-7,1,A
13/11/2024,09:18:41,WPCS,insert,58010_-11,1,A
13/11/2024,09:18:41,WPCS,insert,58010_-9,1,A
13/11/2024,09:18:41,WPCS,insert,58010_-8,1,A
13/11/2024,09:18:41,WPCS,insert,58010_-16,1,A
13/11/2024,09:18:41,WPCS,insert,58010_-17,1,A
13/11/2024,09:18:41,WPCS,insert,58010_-13,1,A
13/11/2024,09:18:41,WPCS,insert,58010_-6,1,A
13/11/2024,09:18:41,WPCS,insert,58002_-27,1,A
13/11/2024,09:18:41,WPCS,insert,58002_-40,1,A
13/11/2024,09:18:41,WPCS,insert,58002_-30,1,A
13/11/2024,09:18:41,WPCS,insert,58002_-37,1,A
13/11/2024,09:28:01,Main,delete,57809_-11,1,A
13/11/2024,09:51:24,Main,delete,57809_-17,1,A
13/11/2024,10:39:40,Main,delete,57809_-8,1,A
13/11/2024,12:33:41,Main,delete,57809_-6,1,A
13/11/2024,17:02:39,WPCS,insert,58001_-20,1,A
13/11/2024,17:02:39,WPCS,insert,58001_-15,1,A
13/11/2024,17:02:39,WPCS,insert,58001_-19,1,A
13/11/2024,17:02:39,WPCS,insert,58001_-16,1,A
13/11/2024,19:15:59,Main,delete,58001_-20,1,A
13/11/2024,19:33:29,Main,delete,58001_-19,1,A
14/11/2024,07:23:23,Main,delete,57272_-1,1,A
14/11/2024,10:43:38,Main,delete,58010_-24,1,A
14/11/2024,11:17:49,WPCS,insert,58067_-1,1,A
14/11/2024,12:02:43,Main,delete,57809_-7,1,A
15/11/2024,07:41:11,Main,delete,58001_-15,1,A
15/11/2024,07:49:51,Main,delete,58001_-16,1,A
15/11/2024,12:41:59,Main,delete,58002_-23,1,A
15/11/2024,12:49:59,Main,delete,58002_-22,1,A
15/11/2024,13:50:54,Main,delete,58002_-17,1,A
15/11/2024,14:02:07,Main,delete,58002_-63,1,A
15/11/2024,14:09:06,Main,delete,58002_-60,1,A
15/11/2024,14:17:38,Main,delete,58002_-62,1,A
15/11/2024,14:59:12,Main,delete,58002_-21,1,A
15/11/2024,15:15:51,Main,delete,58002_-20,1,A
15/11/2024,15:53:57,Main,delete,58002_-16,1,A
15/11/2024,16:39:19,Main,delete,58002_-18,1,A
15/11/2024,17:03:12,Main,delete,58002_-19,1,A
15/11/2024,17:18:37,WPCS,delete,57975_-183,1,A
15/11/2024,17:18:47,WPCS,delete,57975_-182,1,A
15/11/2024,17:18:57,WPCS,delete,57975_-181,1,A
15/11/2024,17:19:02,WPCS,delete,57975_-180,1,A
15/11/2024,17:19:12,WPCS,delete,57975_-179,1,A
15/11/2024,17:19:13,Main,delete,58002_-15,1,A
15/11/2024,17:19:23,WPCS,delete,57975_-178,1,A
15/11/2024,17:19:28,WPCS,delete,57975_-177,1,A
15/11/2024,17:19:38,WPCS,delete,57975_-176,1,A
15/11/2024,17:19:43,WPCS,delete,57975_-174,1,A
15/11/2024,17:19:53,WPCS,delete,57975_-171,1,A
15/11/2024,17:20:03,WPCS,delete,57975_-165,1,A
15/11/2024,17:20:08,WPCS,delete,57975_-160,1,A
15/11/2024,17:20:23,WPCS,delete,57975_-152,1,A
15/11/2024,17:20:33,WPCS,delete,57975_-153,1,A
15/11/2024,17:20:43,WPCS,delete,57975_-156,1,A
15/11/2024,17:20:48,WPCS,delete,57975_-157,1,A
15/11/2024,17:21:08,WPCS,delete,57975_-155,1,A
15/11/2024,17:21:13,WPCS,delete,57975_-172,1,A
15/11/2024,17:21:33,WPCS,delete,57975_-159,1,A
15/11/2024,17:22:03,WPCS,delete,57975_-175,1,A
15/11/2024,17:22:13,WPCS,delete,57975_-158,1,A
15/11/2024,17:31:22,Main,delete,58002_-14,1,A
15/11/2024,17:50:58,Main,delete,58002_-12,1,A
15/11/2024,19:09:52,Main,delete,58002_-11,1,A
15/11/2024,19:30:04,Main,delete,58002_-13,1,A
15/11/2024,19:47:52,Main,delete,58002_-1,1,A
15/11/2024,20:31:01,Main,delete,58002_-9,1,A
15/11/2024,20:53:52,Main,delete,58002_-8,1,A
15/11/2024,21:20:08,Main,delete,58002_-10,1,A
15/11/2024,21:47:15,Main,delete,58002_-50,1,A
15/11/2024,21:54:19,Main,delete,58002_-48,1,A
15/11/2024,22:02:06,Main,delete,58002_-45,1,A
15/11/2024,22:14:15,Main,delete,58002_-46,1,A
